妙,4 4 2 ,4 4 2 ,2 3 1 1 ,1 1 0 1 ,0.4375 0.3359375 0.0703125 0.0234375 
翫,2 3 4 ,2 3 4 ,2 1 1 3 ,2 3 2 0 ,0.53125 0.4609375 0.25 0.48046875 
竲,4 3 3 ,4 3 3 ,2 2 3 1 ,3 1 2 4 ,0.35546875 0.37109375 0.5234375 0.55859375 
焵,7 6 7 ,7 6 7 ,4 3 3 4 ,1 1 2 2 ,0.26953125 0.3203125 0.45703125 0.51953125 
骒,3 4 5 ,3 4 5 ,3 1 2 3 ,2 3 3 2 ,0.375 0.2734375 0.5 0.31640625 
力,1 2 2 ,1 2 2 ,1 1 1 1 ,1 1 1 1 ,0.0546875 0.44921875 0.0625 0.5 
降,5 3 3 ,5 3 3 ,3 2 2 1 ,2 1 2 2 ,0.5625 0.55078125 0.33984375 0.234375 
瞳,4 5 3 ,4 5 3 ,3 2 2 1 ,1 1 3 4 ,0.5 0.4453125 0.32421875 0.40625 
藄,1 2 4 ,1 2 4 ,1 1 2 3 ,2 4 2 3 ,0.328125 0.22265625 0.34375 0.29296875 
踆,3 5 5 ,3 5 5 ,3 1 3 2 ,2 1 1 2 ,0.33203125 0.5 0.23828125 0.3984375 
蠼,3 4 3 ,3 4 3 ,2 2 3 1 ,1 2 3 5 ,0.37109375 0.3203125 0.625 0.51171875 
蒷,1 2 2 ,1 2 2 ,1 1 1 1 ,4 4 4 4 ,0.3046875 0.46484375 0.3125 0.4765625 
逿,2 2 4 ,2 2 4 ,1 1 2 2 ,0 2 4 3 ,0.3125 0.48046875 0.390625 0.53515625 
躧,8 5 6 ,8 5 6 ,4 5 4 3 ,2 2 3 1 ,0.41015625 0.39453125 0.4921875 0.5859375 
囐,7 4 8 ,7 4 8 ,4 3 4 4 ,0 1 1 1 ,0.4140625 0.22265625 0.34375 0.43359375 
袍,3 5 4 ,3 5 4 ,2 1 2 2 ,1 1 1 2 ,0.40234375 0.375 0.24609375 0.4921875 
牁,3 4 4 ,3 4 4 ,2 1 3 2 ,1 1 1 1 ,0.25390625 0.30078125 0.42578125 0.39453125 
玃,5 2 1 ,5 2 1 ,2 3 1 0 ,2 1 6 5 ,0.44921875 0.37890625 0.6015625 0.46484375 
因,3 3 4 ,3 3 4 ,2 2 2 2 ,2 2 2 2 ,0.609375 0.68359375 0.5703125 0.6171875 
祣,2 5 3 ,2 5 3 ,2 0 2 2 ,2 1 2 1 ,0.390625 0.3125 0.3125 0.3515625 
彅,3 4 2 ,3 4 2 ,2 2 2 1 ,1 1 2 4 ,0.3125 0.3359375 0.47265625 0.48046875 
凔,4 3 3 ,4 3 3 ,2 2 3 1 ,1 1 3 3 ,0.31640625 0.38671875 0.1875 0.53125 
坷,2 4 3 ,2 4 3 ,1 1 2 1 ,1 1 1 1 ,0.375 0.3359375 0.51171875 0.3984375 
怛,4 4 3 ,4 4 3 ,3 1 2 1 ,1 0 2 2 ,0.40234375 0.375 0.34765625 0.33203125 
缐,4 2 3 ,4 2 3 ,3 1 1 3 ,1 2 3 2 ,0.25 0.32421875 0.296875 0.34765625 
